tier,brand_family,name,expression_type,image_url,id
1,Garrison Brothers,Garrison Brothers Honey Dew,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/233b1890-529c-43f5-b775-b12ac186a3f1.jpg,233b1890-529c-43f5-b775-b12ac186a3f1
1,Heaven Hill,Heaven Hill Bottled in Bond,Bottled-in-Bond,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/7b7b9523-6aec-4c3f-a8c9-e92780f7728c.jpg,7b7b9523-6aec-4c3f-a8c9-e92780f7728c
1,Henry McKenna,"Henry McKenna Single Barrel, Bottled-in-Bond",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/456f5ae0-f62b-41f8-9052-16c1ad0b4bfc.jpg,456f5ae0-f62b-41f8-9052-16c1ad0b4bfc
1,Hibiki,Hibiki Japanese Harmony,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/8c3cae59-ad39-41cb-b1e4-709c69369773.jpg,8c3cae59-ad39-41cb-b1e4-709c69369773
1,Horse Soldier,Horse Soldier Single Barrel,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/9c22f71a-8680-44d5-8221-feafc4a0b1b5.jpg,9c22f71a-8680-44d5-8221-feafc4a0b1b5
1,I.W. Harper,I.W. Harper,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/95fdd45e-e062-4c5c-a526-6f02268818d8.jpg,95fdd45e-e062-4c5c-a526-6f02268818d8
1,Jefferson's,Jefferson's Very Small Batch Bourbon,Small Batch,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/7065da6d-ce22-4c64-8c94-b2e6d71e587b.jpg,7065da6d-ce22-4c64-8c94-b2e6d71e587b
1,Knob Creek,Knob Creek 12 Year,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/863281a6-8f59-45d3-91db-1bfc7f0069dd.jpg,863281a6-8f59-45d3-91db-1bfc7f0069dd
1,Larceny,Larceny,Small Batch,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/24a2e3d9-9e7c-4021-aa15-9faabad71e13.jpg,24a2e3d9-9e7c-4021-aa15-9faabad71e13
1,Little Book,Little Book Chapter 7 'In Retrospect' (2023),,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/255e4f08-c127-408d-9379-8ddc76bc015b.jpg,255e4f08-c127-408d-9379-8ddc76bc015b
1,Lucky Seven,"Lucky Seven The Holiday Toast, Double Oak",,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/9857ad9a-439a-4678-beb8-d5a8811c82d9.jpg,9857ad9a-439a-4678-beb8-d5a8811c82d9
1,Maker's Mark,Maker's Mark,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/5ae039ed-36dd-4a45-a169-39b38e08959e.jpg,5ae039ed-36dd-4a45-a169-39b38e08959e
1,Old Forester,1870 Original Batch,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/65a75061-295f-4951-a654-1aa30e2e8940.jpg,65a75061-295f-4951-a654-1aa30e2e8940
1,Old Forester,Old Forester 100 Proof Signature,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/09e48a71-3889-4da3-a607-4f967bcb7675.jpg?t=1780178761547,09e48a71-3889-4da3-a607-4f967bcb7675
1,Old Forester,Old Forester 1920 Prohibition Style,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/9e35882a-dba3-4cd8-a5b0-f70d21c61bf4.jpg,9e35882a-dba3-4cd8-a5b0-f70d21c61bf4
1,Old Forester,Old Forester 1924 — 10 Year,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/e2064bd9-9fb0-4893-a664-efebd3f1b51c.jpg,e2064bd9-9fb0-4893-a664-efebd3f1b51c
1,Old Forester,Old Forester King Ranch,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/ea158fc5-57cf-4b4d-8af2-a6d53a9d44b1.jpg?t=1780189527591,ea158fc5-57cf-4b4d-8af2-a6d53a9d44b1
1,Old Forester,"Old Forester Single Barrel, Barrel Strength",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/54a81325-9b7d-4586-8862-84213ad9ccc9.jpg,54a81325-9b7d-4586-8862-84213ad9ccc9
1,Old Grand-Dad,Old Grand-Dad Bottled-in-Bond,Bottled-in-Bond,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/c5475639-1c76-497b-986b-4660592f92f7.jpg,c5475639-1c76-497b-986b-4660592f92f7
1,Peerless,Peerless Single Barrel Bourbon,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/af105ecb-2432-42b6-9a37-9aaafd538870.jpg,af105ecb-2432-42b6-9a37-9aaafd538870
1,Uncle Nearest,Uncle Nearest 1856,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/456f14ce-54d6-4fcd-a1ee-d936850add8c.jpg?t=1780182591538,456f14ce-54d6-4fcd-a1ee-d936850add8c
1,Uncle Nearest,Uncle Nearest 1884,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/9dcb78fc-36d8-4962-85ef-2d0ab9674b38.jpg?t=1780182563997,9dcb78fc-36d8-4962-85ef-2d0ab9674b38
1,WhistlePig,WhistlePig PiggyBack 100% Rye,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/a811b04b-b56b-439b-9e73-b47f2cd2c993.jpg,a811b04b-b56b-439b-9e73-b47f2cd2c993
1,WhistlePig,"WhistlePig Single Barrel Rye, 10 Year",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/b2420717-cec1-49ac-b11e-e5e3c8b92e94.jpg,b2420717-cec1-49ac-b11e-e5e3c8b92e94
1,Wild Turkey,Wild Turkey 101,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/b8b6f3e0-a5d2-423b-925c-5563a05d17e7.jpg,b8b6f3e0-a5d2-423b-925c-5563a05d17e7
1,Wild Turkey,Wild Turkey Generations 70th Anniversary Release,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/58a1e88f-0f24-4f5f-8dd8-a5559f4f42ae.jpg,58a1e88f-0f24-4f5f-8dd8-a5559f4f42ae
1,Wild Turkey,Wild Turkey Longbranch,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/12e2f298-8c8f-4b5b-b2a7-f1657a63d30e.jpg,12e2f298-8c8f-4b5b-b2a7-f1657a63d30e
1,Wild Turkey,Wild Turkey Rare Breed,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/10f89810-ae93-44e2-8b69-39e6bb9d3d82.jpg,10f89810-ae93-44e2-8b69-39e6bb9d3d82
1,Yellowstone,"Yellowstone Hand Picked Collection, Single Barrel",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/da025fd5-2f68-46b6-aa12-f00dda369a67.jpg,da025fd5-2f68-46b6-aa12-f00dda369a67
1,Yellowstone,Yellowstone Select,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/2a78f5a1-6906-4340-a12b-de1a00a1a3e4.jpg,2a78f5a1-6906-4340-a12b-de1a00a1a3e4
2,1792,1792 Bottled-in-Bond,Bottled-in-Bond,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/e5253b95-5f9e-44bc-97c2-d3a069fe2b50.jpg?t=1780178436781,e5253b95-5f9e-44bc-97c2-d3a069fe2b50
2,1792,1792 Single Barrel,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/b31ddd89-09e2-4de4-bad0-004d5f381096.jpg?t=1780178465405,b31ddd89-09e2-4de4-bad0-004d5f381096
2,1792,1792 Sweet Wheat,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/b822bfca-3be3-4993-a44e-a188c7fd9e81.jpg?t=1780178492686,b822bfca-3be3-4993-a44e-a188c7fd9e81
2,Angel's Envy,Angel's Envy Port Barrel Finish,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/7755aa39-9e75-4f4c-ba82-70cc9b499422.jpg?t=1780178981175,7755aa39-9e75-4f4c-ba82-70cc9b499422
2,Angel's Envy,"Angel's Envy Private Selection, Port Barrel Finish",,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/e821fce0-932c-4b6a-90e9-b841ef31e443.jpg,e821fce0-932c-4b6a-90e9-b841ef31e443
2,Angel's Envy,Angel's Envy Rye,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/d09fb1dc-1062-4829-8620-f7f00424bacf.jpg?t=1780179016626,d09fb1dc-1062-4829-8620-f7f00424bacf
2,Backbone Bourbon,"Backbone Bourbon Uncut, Single Barrel",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/04a490f0-155a-475e-8ab8-aa239af55aab.jpg,04a490f0-155a-475e-8ab8-aa239af55aab
2,Baker's,Baker's Single Barrel 7 Year,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/338397c2-cdc8-4020-b096-bdbc6d7d254a.jpg,338397c2-cdc8-4020-b096-bdbc6d7d254a
2,Barrell,Barrell Bourbon,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/52b101e3-833d-47bf-b06a-3e4fb2b63bfc.jpg,52b101e3-833d-47bf-b06a-3e4fb2b63bfc
2,Barrell,Barrell Cask Finish Series,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/5ece24fc-a981-4138-bb91-ccde8a8c9d1e.jpg,5ece24fc-a981-4138-bb91-ccde8a8c9d1e
2,Barrell,Barrell Dovetail,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/f7d4fe3d-697b-48a5-99bd-f6118f09d8dc.jpg,f7d4fe3d-697b-48a5-99bd-f6118f09d8dc
2,Barrell,Barrell Private Release,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/13dcb8a9-c20a-471d-8a9a-dd2526f70b40.jpg,13dcb8a9-c20a-471d-8a9a-dd2526f70b40
2,Barrell,Barrell Seagrass,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/7e1056cc-cd76-43f9-93f4-5e545ca3e2da.jpg?t=1780178043009,7e1056cc-cd76-43f9-93f4-5e545ca3e2da
2,Barrell,Barrell Vantage,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/8a95fe95-1216-4ba0-9145-fc87c4f228b0.jpg?t=1780178071298,8a95fe95-1216-4ba0-9145-fc87c4f228b0
2,Blackened,Blackened,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/04805b99-ea71-4abc-8b7d-02dba16e1948.jpg?t=1780274908035,04805b99-ea71-4abc-8b7d-02dba16e1948
2,Blackened,Blackened Cask Strength,Cask Strength,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/60fee48d-9e38-4507-b953-ca172c64f659.jpg?t=1780179590477,60fee48d-9e38-4507-b953-ca172c64f659
2,Bloody Butcher's Creed,"Bloody Butcher's Creed Single Barrel, Cobb Barrel Pick",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/5fc7dc25-a836-4e3f-acd1-97ddd612e220.jpg?t=1780275323275,5fc7dc25-a836-4e3f-acd1-97ddd612e220
2,Castle & Key,Castle & Key Bourbon,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/c777ed33-1746-49ee-a62f-b08b7e2820e5.jpg,c777ed33-1746-49ee-a62f-b08b7e2820e5
2,Castle & Key,Restoration,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/7d9821fe-80df-46bc-96af-56584b7d1188.jpg,7d9821fe-80df-46bc-96af-56584b7d1188
2,Colonel E.H. Taylor,Colonel E.H. Taylor Jr. Barrel Proof,Barrel Proof,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/218a7dc3-28aa-4a09-a298-efa91e06a0e2.jpg?t=1780181655182,218a7dc3-28aa-4a09-a298-efa91e06a0e2
2,Colonel E.H. Taylor,Colonel E.H. Taylor Single Barrel,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/c3d36580-c186-4047-a324-4cba97eca160.jpg?t=1780181713836,c3d36580-c186-4047-a324-4cba97eca160
2,Daviess County,Daviess County Double Barrel,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/c0e7bfe7-287d-42d9-8c74-f3bc87a416e7.jpg,c0e7bfe7-287d-42d9-8c74-f3bc87a416e7
2,Daviess County,Daviess County Toasted Barrel Finish Series,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/167daee3-9bb5-404e-93db-4c3dbae1cf24.jpg,167daee3-9bb5-404e-93db-4c3dbae1cf24
2,Elijah Craig,Elijah Craig Toasted Barrel,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/1b68b52d-2afc-425b-b77b-bdde38571f41.jpg,1b68b52d-2afc-425b-b77b-bdde38571f41
2,Flatboat,Flatboat KY Straight Bourbon,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/f407b4a0-7099-48fc-ba83-150ff9d86420.jpg,f407b4a0-7099-48fc-ba83-150ff9d86420
2,Four Roses,Four Roses,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/13dfb4eb-7a77-4446-89c7-eccb963b8913.jpg,13dfb4eb-7a77-4446-89c7-eccb963b8913
2,H.K. Young,"H.K. Young Kentucky Straight Bourbon, Toasted Barrel Blend",,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/3d6b3440-bf4f-4e45-97f7-1adf5856e42b.jpg,3d6b3440-bf4f-4e45-97f7-1adf5856e42b
2,Heaven's Door,"Heaven's Door Cask Strength, Single Barrel",Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/d02be228-4b00-41b7-b614-b1131eafb132.jpg?t=1780182151915,d02be228-4b00-41b7-b614-b1131eafb132
2,Horse Soldier,Horse Soldier,,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/849714fa-4d20-450a-933c-b560255727f4.jpg,849714fa-4d20-450a-933c-b560255727f4
2,Jack Daniel's,Jack Daniel's Bottled in Bond,Bottled-in-Bond,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/725faf93-f31c-4ef9-964e-e99d17bbd926.jpg,725faf93-f31c-4ef9-964e-e99d17bbd926
2,Jack Daniel's,Jack Daniel's Single Barrel,Single Barrel,https://jafcwggqgqxrcbuxjreo.supabase.co/storage/v1/object/public/product-catalog/bourbon/9ffa520e-63f8-4082-9f6e-379c9817d927.jpg,9ffa520e-63f8-4082-9f6e-379c9817d927
