brand_family,expression,expression_type,name,is_core_range,proof,abv,age,mash,spirit_type,producer,brand,id
New Riff,New Riff Single Barrel Bourbon Barrel Proof,Single Barrel,"New Riff Single Barrel Bourbon, Barrel Proof",N,102.4,56.3,4,"Corn, Rye, Malted Barley",,New Riff,New Riff,0f6bf57a-90ac-40e2-b363-d58e73785bc1
New Riff,New Riff Single Barrel Bourbon Cigar Club Pick,Single Barrel,"New Riff Single Barrel Bourbon, Cigar Club Pick",N,110.3,56.3,4,"Corn, Rye, Malted Barley",,New Riff,New Riff,17848500-bac1-44b6-b3cc-a03ad0fae91e
New Riff,New Riff Winter Whiskey,,New Riff Winter Whiskey,N,100,50,4,"65% corn, 20% malted oats, 7% pale malt, 5% steel cut raw oats, 3% chocolate malt",,New Riff,New Riff,7ecfb5c0-3601-48fb-94b9-aa20b7e38f58
O.K.I.,O.K.I. Single Barrel Straight Bourbon,Single Barrel,O.K.I. Single Barrel Straight Bourbon,N,113.3,57,5,"Corn, Rye, Malted Barley",,O.K.I.,O.K.I.,ac0ff254-f5e0-4c3c-bec3-ee731ca76441
Old Ezra,Old Ezra,,Old Ezra,N,117,58.5,,,,Lux Row (Luxco),Old Ezra,2ee0be75-2daf-4c20-aa25-aa95b21f515b
Old Ezra,Old Ezra Barrel Strength,Cask Strength,Old Ezra Barrel Strength,N,117,58.5,7,"Corn, Rye, Malted Barley",,Lux Row (Luxco),Old Ezra,8404a9ba-862b-42f3-9d1f-62dce801e2f2
Old Fitzgerald,Old Fitzgerald Bottled-in-Bond Decanter,Bottled-in-Bond,Old Fitzgerald,Y,100,50,,,,Heaven Hill,Old Fitzgerald,94f0dbcf-9c07-40fe-a416-d214de7c20a7
Old Forester,Old Forester 117 Series,Bottled-in-Bond,117 Series Bottled in Bond,N,100,50,,,,Brown-Forman,Old Forester,da5bd787-ceaf-43af-9a59-552d55dd7891
Old Forester,Old Forester 150th Anniversary,,Old Forester 150th Anniversary Batch,N,126.8,63.4,,,,Brown-Forman,Old Forester,b261666d-fd8e-4708-8a54-36ef29c2b155
Old Forester,Old Forester 1870 Original Batch,,1870 Original Batch,Y,90,45,4,"72% Corn, 18% Rye, 10% Malted Barley",,Brown-Forman,Old Forester,65a75061-295f-4951-a654-1aa30e2e8940
Old Forester,Old Forester 1897 Bottled in Bond,Bottled-in-Bond,1897,Y,100,,,"72% Corn, 18% Rye, 10% Malted Barley",,Brown-Forman,Old Forester,a94830b6-e400-438e-bd61-4aa1a93a6878
Old Forester,Old Forester 1910 Old Fine Whisky,,1910 Old Fine Whisky,Y,93,46.5,,"72% Corn, 18% Rye, 10% Malted Barley",,Brown-Forman,Old Forester,f857d6d2-ac11-40ff-833d-37950c007478
Old Forester,Old Forester 1920 Prohibition Style,,Old Forester 1920 Prohibition Style,Y,115,57.5,,"Corn, Rye, Malted Barley",,Brown-Forman,Old Forester,9e35882a-dba3-4cd8-a5b0-f70d21c61bf4
Old Forester,Old Forester Birthday Bourbon,,Birthday Bourbon,N,96,48,,,,Brown-Forman,Old Forester,1c1a77f0-020c-4028-b7f9-d2e79176a9cc
Old Forester,Old Forester King Ranch,,Old Forester King Ranch,N,105,,,"Corn, Rye, Malted Barley",,Brown-Forman,Old Forester,ea158fc5-57cf-4b4d-8af2-a6d53a9d44b1
Old Forester,Old Forester President's Choice,,The President s Choice,N,111,55.5,,,,Brown-Forman,Old Forester,f2f8635d-5878-40a9-8e60-8a164c7e87fb
Old Forester,Old Forester Repeal Bourbon,,Repeal Bourbon,Y,100,50,,,,Brown-Forman,Old Forester,2998d8a6-a7f2-4cd9-b2ee-993c2ffeb301
Old Forester,Old Forester Signature,,Old Forester 100 Proof Signature,Y,100,50,,"72% Corn, 18% Rye, 10% Malted Barley",,Brown-Forman,Old Forester,09e48a71-3889-4da3-a607-4f967bcb7675
Old Forester,Old Forester Single Barrel,Single Barrel,"Old Forester Single Barrel, Barrel Strength",Y,127.1,,4.4166666667,"Corn, Rye, Malted Barley",,Brown-Forman,Old Forester,54a81325-9b7d-4586-8862-84213ad9ccc9
